timestamp,mem_used_MiB,mem_total_MiB,gpu_util,mem_util,power_W,temp_C
2026/04/19 22:19:02.031, 31110, 32607, 0, 38, 15.42, 33
2026/04/19 22:19:03.057, 31110, 32607, 0, 36, 15.71, 33
2026/04/19 22:19:04.083, 31110, 32607, 0, 33, 15.59, 33
2026/04/19 22:19:05.109, 31110, 32607, 0, 43, 15.39, 33
2026/04/19 22:19:06.135, 31110, 32607, 0, 37, 15.55, 33
2026/04/19 22:19:07.163, 31110, 32607, 0, 34, 15.57, 33
2026/04/19 22:19:08.188, 31110, 32607, 0, 36, 15.62, 33
2026/04/19 22:19:09.214, 31110, 32607, 0, 41, 15.56, 33
2026/04/19 22:19:10.239, 31110, 32607, 0, 37, 15.51, 33
2026/04/19 22:19:11.265, 31110, 32607, 0, 35, 15.74, 33
2026/04/19 22:19:12.291, 31110, 32607, 0, 38, 15.71, 33
2026/04/19 22:19:13.315, 31110, 32607, 0, 40, 15.64, 33
2026/04/19 22:19:14.340, 31110, 32607, 0, 39, 15.60, 33
2026/04/19 22:19:15.366, 31110, 32607, 0, 38, 15.63, 33
2026/04/19 22:19:16.391, 31110, 32607, 0, 36, 15.69, 33
2026/04/19 22:19:17.416, 31110, 32607, 0, 38, 15.72, 33
2026/04/19 22:19:18.441, 31110, 32607, 0, 34, 15.72, 33
2026/04/19 22:19:19.466, 31110, 32607, 0, 40, 15.74, 33
2026/04/19 22:19:20.491, 31110, 32607, 0, 36, 15.69, 33
2026/04/19 22:19:21.516, 31110, 32607, 0, 39, 15.72, 33
2026/04/19 22:19:22.541, 31110, 32607, 0, 40, 15.81, 33
2026/04/19 22:19:23.565, 31110, 32607, 0, 39, 15.91, 33
2026/04/19 22:19:24.590, 31110, 32607, 0, 42, 15.80, 33
2026/04/19 22:19:25.615, 31110, 32607, 0, 39, 15.70, 33
2026/04/19 22:19:26.639, 31110, 32607, 0, 41, 15.36, 33
2026/04/19 22:19:27.663, 31110, 32607, 0, 35, 15.40, 33
2026/04/19 22:19:28.687, 31110, 32607, 0, 32, 15.49, 33
2026/04/19 22:19:29.712, 31110, 32607, 0, 34, 15.58, 33
2026/04/19 22:19:30.737, 31110, 32607, 0, 35, 15.53, 33
2026/04/19 22:19:31.761, 31110, 32607, 0, 37, 15.58, 33
2026/04/19 22:19:32.785, 31110, 32607, 0, 38, 15.56, 33
2026/04/19 22:19:33.810, 31110, 32607, 0, 36, 15.81, 33
2026/04/19 22:19:34.834, 31110, 32607, 0, 42, 15.69, 33
2026/04/19 22:19:35.859, 31110, 32607, 0, 35, 15.57, 33
2026/04/19 22:19:36.884, 31110, 32607, 0, 34, 15.47, 33
2026/04/19 22:19:37.911, 31110, 32607, 0, 40, 15.48, 33
2026/04/19 22:19:38.937, 31110, 32607, 0, 40, 15.41, 33
2026/04/19 22:19:39.962, 31110, 32607, 0, 37, 15.39, 33
2026/04/19 22:19:40.988, 31110, 32607, 0, 34, 15.53, 33
2026/04/19 22:19:42.012, 31110, 32607, 0, 38, 15.48, 33
2026/04/19 22:19:43.036, 31110, 32607, 0, 41, 15.54, 33
2026/04/19 22:19:44.061, 31110, 32607, 0, 35, 15.53, 33
2026/04/19 22:19:45.087, 31110, 32607, 0, 41, 15.52, 33
2026/04/19 22:19:46.113, 31110, 32607, 0, 36, 15.35, 33
2026/04/19 22:19:47.138, 31110, 32607, 0, 41, 15.47, 33
2026/04/19 22:19:48.163, 31110, 32607, 0, 34, 15.52, 33
2026/04/19 22:19:49.188, 31110, 32607, 0, 41, 15.48, 33
2026/04/19 22:19:50.213, 31110, 32607, 0, 37, 15.48, 33
2026/04/19 22:19:51.238, 31110, 32607, 0, 37, 15.49, 33
2026/04/19 22:19:52.263, 31110, 32607, 0, 33, 15.50, 33
2026/04/19 22:19:53.287, 31110, 32607, 0, 33, 15.66, 33
2026/04/19 22:19:54.311, 31110, 32607, 0, 35, 15.66, 33
2026/04/19 22:19:55.335, 31110, 32607, 0, 41, 15.51, 33
2026/04/19 22:19:56.359, 31110, 32607, 0, 36, 15.56, 33
2026/04/19 22:19:57.383, 31110, 32607, 0, 36, 15.62, 33
2026/04/19 22:19:58.410, 31110, 32607, 0, 37, 15.64, 33
2026/04/19 22:19:59.435, 31110, 32607, 0, 38, 15.64, 33
2026/04/19 22:20:00.461, 31110, 32607, 0, 37, 15.54, 33
2026/04/19 22:20:01.485, 31110, 32607, 0, 33, 15.40, 33
